# theta (deg),785 nm,790 nm,795 nm,800 nm,805 nm,810 nm,815 nm,820 nm,825 nm,830 nm,835 nm,840 nm,845 nm,850 nm
2.000000000000000000e+01,6.841720000000000024e-01,6.649680000000000035e-01,6.561580000000000190e-01,6.536330000000000195e-01,6.475030000000000507e-01,5.921939999999999982e-01,5.023760000000000447e-01,4.753290000000000015e-01,5.056009999999999671e-01,5.477079999999999727e-01,6.073629999999999862e-01,6.694480000000000430e-01,7.091859999999999831e-01,7.260809999999999764e-01
2.100000000000000000e+01,6.958100000000000396e-01,6.769129999999999869e-01,6.682679999999999731e-01,6.658399999999999874e-01,6.597870000000000124e-01,6.046310000000000295e-01,5.149289999999999701e-01,4.878390000000000226e-01,5.180660000000000265e-01,5.600840000000000263e-01,6.194199999999999706e-01,6.809229999999999450e-01,7.200499999999999678e-01,7.365730000000000333e-01
2.200000000000000000e+01,7.065599999999999659e-01,6.879699999999999704e-01,6.794839999999999769e-01,6.771500000000000297e-01,6.711740000000000483e-01,6.162100000000000355e-01,5.266939999999999955e-01,4.995839999999999725e-01,5.297389999999999599e-01,5.716400000000000370e-01,6.306359999999999744e-01,6.915480000000000516e-01,7.300729999999999720e-01,7.462370000000000392e-01
2.300000000000000000e+01,7.165150000000000130e-01,6.982270000000000421e-01,6.898990000000000400e-01,6.876510000000000122e-01,6.817520000000000246e-01,6.270130000000000425e-01,5.377389999999999670e-01,5.106289999999999996e-01,5.406910000000000327e-01,5.824519999999999698e-01,6.410909999999999664e-01,7.014070000000000027e-01,7.393440000000000012e-01,7.551619999999999999e-01
2.400000000000000000e+01,7.257559999999999567e-01,7.077649999999999775e-01,6.995909999999999629e-01,6.974249999999999616e-01,6.916020000000000501e-01,6.371130000000000404e-01,5.481289999999999774e-01,5.210329999999999684e-01,5.509830000000000005e-01,5.925850000000000284e-01,6.508549999999999613e-01,7.105789999999999607e-01,7.479390000000000205e-01,7.634260000000000490e-01
2.500000000000000000e+01,7.343530000000000335e-01,7.166529999999999845e-01,7.086280000000000356e-01,7.065390000000000281e-01,7.007910000000000528e-01,6.465720000000000356e-01,5.579140000000000210e-01,5.308460000000000401e-01,5.606710000000000305e-01,6.021009999999999973e-01,6.599939999999999696e-01,7.191279999999999895e-01,7.559289999999999621e-01,7.710970000000000324e-01
2.600000000000000000e+01,7.423669999999999991e-01,7.249520000000000408e-01,7.170699999999999852e-01,7.150549999999999962e-01,7.093800000000000106e-01,6.554470000000000018e-01,5.671450000000000102e-01,5.401150000000000118e-01,5.698039999999999772e-01,6.110520000000000396e-01,6.685640000000000471e-01,7.271140000000000381e-01,7.633699999999999930e-01,7.782329999999999526e-01
2.700000000000000000e+01,7.498519999999999630e-01,7.327139999999999764e-01,7.249729999999999785e-01,7.230250000000000288e-01,7.174230000000000329e-01,6.637880000000000447e-01,5.758659999999999890e-01,5.488830000000000098e-01,5.784280000000000532e-01,6.194830000000000059e-01,6.766119999999999912e-01,7.345869999999999900e-01,7.703140000000000542e-01,7.848859999999999726e-01
2.800000000000000000e+01,7.568559999999999732e-01,7.399869999999999504e-01,7.323809999999999487e-01,7.304979999999999807e-01,7.249670000000000281e-01,6.716389999999999860e-01,5.841159999999999686e-01,5.571880000000000166e-01,5.865799999999999903e-01,6.274370000000000225e-01,6.841829999999999856e-01,7.415939999999999754e-01,7.768089999999999717e-01,7.911000000000000254e-01
2.900000000000000000e+01,7.634220000000000450e-01,7.468139999999999779e-01,7.393380000000000507e-01,7.375169999999999781e-01,7.320550000000000113e-01,6.790380000000000305e-01,5.919290000000000385e-01,5.650610000000000355e-01,5.942969999999999642e-01,6.349510000000000431e-01,6.913150000000000128e-01,7.481729999999999769e-01,7.828920000000000323e-01,7.969150000000000400e-01
3.000000000000000000e+01,7.695840000000000458e-01,7.532299999999999551e-01,7.458799999999999875e-01,7.441159999999999997e-01,7.387209999999999610e-01,6.860230000000000494e-01,5.993370000000000086e-01,5.725350000000000161e-01,6.016089999999999494e-01,6.420559999999999601e-01,6.980429999999999691e-01,7.543590000000000018e-01,7.885990000000000499e-01,8.023649999999999949e-01
3.100000000000000000e+01,7.753780000000000117e-01,7.592689999999999717e-01,7.520400000000000418e-01,7.503319999999999990e-01,7.450029999999999708e-01,6.926229999999999887e-01,6.063690000000000468e-01,5.796369999999999578e-01,6.085450000000000026e-01,6.487849999999999451e-01,7.043979999999999686e-01,7.601839999999999709e-01,7.939599999999999991e-01,8.074799999999999756e-01
3.200000000000000000e+01,7.808329999999999993e-01,7.649610000000000021e-01,7.578489999999999949e-01,7.561909999999999465e-01,7.509259999999999824e-01,6.988670000000000160e-01,6.130489999999999551e-01,5.863899999999999668e-01,6.151330000000000409e-01,6.551639999999999686e-01,7.104070000000000107e-01,7.656779999999999697e-01,7.990059999999999940e-01,8.122909999999999853e-01
3.300000000000000000e+01,7.859749999999999792e-01,7.703330000000000455e-01,7.633339999999999570e-01,7.617249999999999854e-01,7.565209999999999990e-01,7.047809999999999908e-01,6.194020000000000081e-01,5.928189999999999849e-01,6.213950000000000307e-01,6.612170000000000547e-01,7.160969999999999835e-01,7.708650000000000224e-01,8.037600000000000300e-01,8.168189999999999618e-01
3.400000000000000000e+01,7.908269999999999467e-01,7.754079999999999862e-01,7.685170000000000057e-01,7.669540000000000246e-01,7.618099999999999872e-01,7.103890000000000482e-01,6.254490000000000327e-01,5.989449999999999497e-01,6.273539999999999672e-01,6.669680000000000053e-01,7.214909999999999934e-01,7.757680000000000131e-01,8.082449999999999912e-01,8.210870000000000113e-01
3.500000000000000000e+01,7.954120000000000079e-01,7.802069999999999839e-01,7.734210000000000251e-01,7.719000000000000306e-01,7.668150000000000244e-01,7.157090000000000396e-01,6.312090000000000201e-01,6.047850000000000170e-01,6.330270000000000064e-01,6.724339999999999762e-01,7.266059999999999741e-01,7.804060000000000441e-01,8.124780000000000335e-01,8.251140000000000141e-01
3.600000000000000000e+01,7.997490000000000432e-01,7.847520000000000051e-01,7.780660000000000354e-01,7.765849999999999698e-01,7.715570000000000483e-01,7.207639999999999603e-01,6.367000000000000437e-01,6.103570000000000384e-01,6.384339999999999460e-01,6.776349999999999874e-01,7.314650000000000318e-01,7.848000000000000531e-01,8.164829999999999588e-01,8.289199999999999902e-01
3.700000000000000000e+01,8.038539999999999575e-01,7.890580000000000371e-01,7.824689999999999701e-01,7.810270000000000268e-01,7.760529999999999928e-01,7.255679999999999907e-01,6.419369999999999798e-01,6.156760000000000010e-01,6.435889999999999667e-01,6.825879999999999725e-01,7.360820000000000141e-01,7.889659999999999451e-01,8.202730000000000299e-01,8.325190000000000090e-01
3.800000000000000000e+01,8.077450000000000463e-01,7.931420000000000137e-01,7.866459999999999564e-01,7.852409999999999668e-01,7.803210000000000424e-01,7.301389999999999825e-01,6.469359999999999555e-01,6.207570000000000032e-01,6.485069999999999446e-01,6.873070000000000013e-01,7.404720000000000191e-01,7.929180000000000117e-01,8.238619999999999832e-01,8.359259999999999469e-01
3.900000000000000000e+01,8.114350000000000174e-01,7.970180000000000042e-01,7.906119999999999814e-01,7.892419999999999991e-01,7.843719999999999581e-01,7.344889999999999475e-01,6.517110000000000403e-01,6.256140000000000034e-01,6.532040000000000068e-01,6.918069999999999498e-01,7.446509999999999518e-01,7.966720000000000468e-01,8.272650000000000281e-01,8.391530000000000378e-01
4.000000000000000000e+01,8.149380000000000512e-01,8.007009999999999961e-01,7.943810000000000038e-01,7.930430000000000534e-01,7.882209999999999495e-01,7.386329999999999840e-01,6.562740000000000240e-01,6.302590000000000137e-01,6.576899999999999968e-01,6.960990000000000233e-01,7.486300000000000177e-01,8.002380000000000049e-01,8.304949999999999832e-01,8.422150000000000469e-01
4.100000000000000000e+01,8.182650000000000201e-01,8.042010000000000547e-01,7.979640000000000066e-01,7.966569999999999485e-01,7.918830000000000036e-01,7.425829999999999931e-01,6.606360000000000010e-01,6.347040000000000459e-01,6.619789999999999841e-01,7.001990000000000158e-01,7.524229999999999530e-01,8.036309999999999842e-01,8.335620000000000251e-01,8.451210000000000111e-01
4.200000000000000000e+01,8.214280000000000470e-01,8.075299999999999701e-01,8.013730000000000020e-01,8.000960000000000294e-01,7.953679999999999639e-01,7.463509999999999867e-01,6.648079999999999545e-01,6.389580000000000259e-01,6.660789999999999766e-01,7.041110000000000424e-01,7.560390000000000166e-01,8.068600000000000216e-01,8.364759999999999973e-01,8.478799999999999670e-01
4.300000000000000000e+01,8.244340000000000002e-01,8.106989999999999474e-01,8.046180000000000554e-01,8.033689999999999998e-01,7.986849999999999783e-01,7.499449999999999728e-01,6.688009999999999788e-01,6.430310000000000192e-01,6.700019999999999865e-01,7.078510000000000080e-01,7.594889999999999697e-01,8.099330000000000140e-01,8.392469999999999652e-01,8.505019999999999802e-01
4.400000000000000000e+01,8.272950000000000026e-01,8.137149999999999661e-01,8.077079999999999815e-01,8.064860000000000362e-01,8.018459999999999477e-01,7.533769999999999634e-01,6.726229999999999709e-01,6.469310000000000338e-01,6.737549999999999928e-01,7.114260000000000028e-01,7.627810000000000423e-01,8.128609999999999447e-01,8.418820000000000192e-01,8.529940000000000300e-01
4.500000000000000000e+01,8.300189999999999513e-01,8.165879999999999805e-01,8.106529999999999569e-01,8.094559999999999533e-01,8.048589999999999911e-01,7.566540000000000488e-01,6.762820000000000498e-01,6.506690000000000529e-01,6.773479999999999501e-01,7.148440000000000349e-01,7.659249999999999670e-01,8.156510000000000149e-01,8.443910000000000027e-01,8.553659999999999597e-01
4.600000000000000000e+01,8.326130000000000475e-01,8.193279999999999452e-01,8.134599999999999609e-01,8.122869999999999813e-01,8.077299999999999480e-01,7.597840000000000149e-01,6.797849999999999726e-01,6.542499999999999982e-01,6.807879999999999487e-01,7.181130000000000013e-01,7.689259999999999984e-01,8.183110000000000106e-01,8.467789999999999484e-01,8.576230000000000242e-01
4.700000000000000000e+01,8.350859999999999950e-01,8.219389999999999752e-01,8.161359999999999726e-01,8.149870000000000170e-01,8.104689999999999950e-01,7.627749999999999808e-01,6.831420000000000270e-01,6.576830000000000176e-01,6.840829999999999966e-01,7.212410000000000210e-01,7.717950000000000088e-01,8.208490000000000508e-01,8.490560000000000329e-01,8.597730000000000095e-01
4.800000000000000000e+01,8.374430000000000485e-01,8.244289999999999674e-01,8.186890000000000001e-01,8.175609999999999822e-01,8.130810000000000537e-01,7.656340000000000368e-01,6.863580000000000236e-01,6.609739999999999505e-01,6.872390000000000443e-01,7.242349999999999621e-01,7.745370000000000310e-01,8.232699999999999463e-01,8.512250000000000094e-01,8.618200000000000305e-01
4.900000000000000000e+01,8.396900000000000475e-01,8.268050000000000122e-01,8.211249999999999938e-01,8.200180000000000247e-01,8.155750000000000499e-01,7.683670000000000222e-01,6.894400000000000528e-01,6.641280000000000516e-01,6.902629999999999599e-01,7.270999999999999686e-01,7.771569999999999867e-01,8.255799999999999805e-01,8.532899999999999929e-01,8.637700000000000378e-01
5.000000000000000000e+01,8.418330000000000535e-01,8.290720000000000312e-01,8.234500000000000153e-01,8.223629999999999551e-01,8.179539999999999589e-01,7.709780000000000522e-01,6.923920000000000075e-01,6.671519999999999673e-01,6.931589999999999696e-01,7.298430000000000195e-01,7.796619999999999662e-01,8.277849999999999930e-01,8.552610000000000490e-01,8.656300000000000106e-01
5.100000000000000000e+01,8.438769999999999882e-01,8.312359999999999749e-01,8.256689999999999863e-01,8.245999999999999996e-01,8.202239999999999531e-01,7.734760000000000524e-01,6.952209999999999779e-01,6.700530000000000097e-01,6.959340000000000526e-01,7.324690000000000367e-01,7.820570000000000022e-01,8.298900000000000166e-01,8.571410000000000418e-01,8.674030000000000351e-01
5.200000000000000000e+01,8.458269999999999955e-01,8.333009999999999584e-01,8.277879999999999683e-01,8.267360000000000264e-01,8.223939999999999584e-01,7.758650000000000269e-01,6.979319999999999968e-01,6.728319999999999856e-01,6.985940000000000483e-01,7.349830000000000529e-01,7.843480000000000452e-01,8.319010000000000016e-01,8.589339999999999753e-01,8.690940000000000332e-01
5.300000000000000000e+01,8.476869999999999683e-01,8.352720000000000145e-01,8.298100000000000476e-01,8.287750000000000394e-01,8.244629999999999459e-01,7.781489999999999796e-01,7.005299999999999860e-01,6.754970000000000141e-01,7.011399999999999855e-01,7.373870000000000147e-01,7.865360000000000129e-01,8.338189999999999769e-01,8.606449999999999934e-01,8.707070000000000087e-01
5.400000000000000000e+01,8.494620000000000504e-01,8.371530000000000360e-01,8.317409999999999526e-01,8.307219999999999605e-01,8.264409999999999812e-01,7.803330000000000544e-01,7.030180000000000318e-01,6.780519999999999881e-01,7.035810000000000120e-01,7.396899999999999586e-01,7.886290000000000244e-01,8.356519999999999504e-01,8.622769999999999602e-01,8.722440000000000193e-01
5.500000000000000000e+01,8.511549999999999949e-01,8.389480000000000270e-01,8.335839999999999916e-01,8.325810000000000155e-01,8.283279999999999532e-01,7.824210000000000331e-01,7.054009999999999447e-01,6.804989999999999650e-01,7.059180000000000454e-01,7.418930000000000247e-01,7.906300000000000550e-01,8.374009999999999510e-01,8.638320000000000443e-01,8.737099999999999866e-01
5.600000000000000000e+01,8.527700000000000280e-01,8.406609999999999916e-01,8.353429999999999467e-01,8.343540000000000401e-01,8.301290000000000058e-01,7.844179999999999486e-01,7.076839999999999797e-01,6.828440000000000065e-01,7.081549999999999789e-01,7.440020000000000522e-01,7.925429999999999975e-01,8.390720000000000400e-01,8.653170000000000028e-01,8.751069999999999682e-01
5.700000000000000000e+01,8.543110000000000426e-01,8.422960000000000447e-01,8.370210000000000150e-01,8.360459999999999559e-01,8.318489999999999496e-01,7.863259999999999694e-01,7.098680000000000545e-01,6.850889999999999480e-01,7.102969999999999562e-01,7.460200000000000164e-01,7.943710000000000493e-01,8.406670000000000531e-01,8.667340000000000044e-01,8.764399999999999968e-01
5.800000000000000000e+01,8.557799999999999851e-01,8.438560000000000505e-01,8.386230000000000073e-01,8.376620000000000177e-01,8.334890000000000354e-01,7.881479999999999597e-01,7.119600000000000373e-01,6.872390000000000443e-01,7.123469999999999525e-01,7.479489999999999750e-01,7.961169999999999636e-01,8.421880000000000477e-01,8.680839999999999668e-01,8.777110000000000190e-01
5.900000000000000000e+01,8.571809999999999707e-01,8.453429999999999556e-01,8.401499999999999524e-01,8.392009999999999748e-01,8.350549999999999917e-01,7.898889999999999523e-01,7.139609999999999568e-01,6.892970000000000486e-01,7.143070000000000253e-01,7.497920000000000140e-01,7.977849999999999664e-01,8.436390000000000278e-01,8.693710000000000049e-01,8.789230000000000098e-01
6.000000000000000000e+01,8.585159999999999458e-01,8.467599999999999572e-01,8.416069999999999940e-01,8.406700000000000284e-01,8.365470000000000406e-01,7.915510000000000046e-01,7.158729999999999816e-01,6.912650000000000183e-01,7.161819999999999853e-01,7.515540000000000553e-01,7.993770000000000042e-01,8.450229999999999686e-01,8.705979999999999830e-01,8.800759999999999694e-01
6.100000000000000000e+01,8.597869999999999679e-01,8.481119999999999770e-01,8.429940000000000211e-01,8.420680000000000387e-01,8.379680000000000462e-01,7.931359999999999522e-01,7.177010000000000334e-01,6.931460000000000399e-01,7.179720000000000546e-01,7.532349999999999879e-01,8.008960000000000523e-01,8.463420000000000387e-01,8.717660000000000409e-01,8.811750000000000416e-01
6.200000000000000000e+01,8.609970000000000123e-01,8.493979999999999864e-01,8.443159999999999554e-01,8.434009999999999563e-01,8.393220000000000125e-01,7.946469999999999922e-01,7.194460000000000299e-01,6.949429999999999774e-01,7.196820000000000439e-01,7.548409999999999842e-01,8.023449999999999749e-01,8.475979999999999626e-01,8.728770000000000140e-01,8.822200000000000042e-01
6.300000000000000000e+01,8.621490000000000542e-01,8.506230000000000180e-01,8.455740000000000478e-01,8.446690000000000031e-01,8.406109999999999971e-01,7.960880000000000178e-01,7.211109999999999465e-01,6.966579999999999995e-01,7.213129999999999820e-01,7.563710000000000155e-01,8.037239999999999940e-01,8.487949999999999662e-01,8.739350000000000174e-01,8.832140000000000546e-01
6.400000000000000000e+01,8.632440000000000113e-01,8.517879999999999896e-01,8.467710000000000514e-01,8.458750000000000435e-01,8.418379999999999752e-01,7.974590000000000289e-01,7.226989999999999803e-01,6.982930000000000526e-01,7.228670000000000373e-01,7.578289999999999749e-01,8.050380000000000313e-01,8.499320000000000208e-01,8.749409999999999688e-01,8.841599999999999460e-01
6.500000000000000000e+01,8.642840000000000522e-01,8.528940000000000410e-01,8.479079999999999950e-01,8.470220000000000526e-01,8.430029999999999468e-01,7.987649999999999473e-01,7.242110000000000491e-01,6.998510000000000009e-01,7.243479999999999919e-01,7.592170000000000307e-01,8.062869999999999759e-01,8.510130000000000194e-01,8.758949999999999791e-01,8.850569999999999826e-01
6.600000000000000000e+01,8.652710000000000123e-01,8.539440000000000364e-01,8.489870000000000472e-01,8.481100000000000305e-01,8.441089999999999982e-01,8.000040000000000484e-01,7.256489999999999885e-01,7.013350000000000417e-01,7.257569999999999855e-01,7.605370000000000186e-01,8.074740000000000251e-01,8.520379999999999621e-01,8.768010000000000526e-01,8.859070000000000000e-01
6.700000000000000000e+01,8.662069999999999492e-01,8.549390000000000045e-01,8.500100000000000433e-01,8.491400000000000059e-01,8.451570000000000471e-01,8.011800000000000033e-01,7.270159999999999956e-01,7.027440000000000353e-01,7.270950000000000468e-01,7.617899999999999672e-01,8.086010000000000142e-01,8.530119999999999925e-01,8.776599999999999957e-01,8.867129999999999734e-01
6.800000000000000000e+01,8.670919999999999739e-01,8.558820000000000316e-01,8.509780000000000122e-01,8.501159999999999828e-01,8.461490000000000400e-01,8.022949999999999804e-01,7.283129999999999882e-01,7.040819999999999856e-01,7.283650000000000402e-01,7.629789999999999628e-01,8.096680000000000543e-01,8.539339999999999709e-01,8.784720000000000306e-01,8.874769999999999603e-01
6.900000000000000000e+01,8.679299999999999793e-01,8.567730000000000068e-01,8.518940000000000401e-01,8.510400000000000187e-01,8.470889999999999809e-01,8.033510000000000373e-01,7.295420000000000238e-01,7.053500000000000325e-01,7.295690000000000230e-01,7.641050000000000342e-01,8.106790000000000385e-01,8.548050000000000370e-01,8.792410000000000503e-01,8.881980000000000430e-01
7.000000000000000000e+01,8.687200000000000477e-01,8.576150000000000162e-01,8.527590000000000447e-01,8.519120000000000026e-01,8.479759999999999520e-01,8.043489999999999807e-01,7.307050000000000489e-01,7.065500000000000114e-01,7.307069999999999954e-01,7.651700000000000168e-01,8.116339999999999666e-01,8.556280000000000552e-01,8.799660000000000259e-01,8.888789999999999747e-01
7.100000000000000000e+01,8.694640000000000146e-01,8.584070000000000311e-01,8.535749999999999726e-01,8.527339999999999920e-01,8.488120000000000109e-01,8.052899999999999503e-01,7.318019999999999525e-01,7.076820000000000332e-01,7.317820000000000435e-01,7.661740000000000217e-01,8.125360000000000360e-01,8.564040000000000541e-01,8.806500000000000439e-01,8.895220000000000349e-01
7.200000000000000000e+01,8.701649999999999663e-01,8.591529999999999445e-01,8.543410000000000171e-01,8.535059999999999869e-01,8.495979999999999643e-01,8.061749999999999750e-01,7.328360000000000429e-01,7.087489999999999624e-01,7.327939999999999454e-01,7.671210000000000528e-01,8.133829999999999671e-01,8.571339999999999515e-01,8.812919999999999643e-01,8.901250000000000551e-01
7.300000000000000000e+01,8.708209999999999562e-01,8.598529999999999784e-01,8.550600000000000422e-01,8.542300000000000448e-01,8.503349999999999520e-01,8.070060000000000011e-01,7.338069999999999871e-01,7.097529999999999673e-01,7.337449999999999806e-01,7.680090000000000527e-01,8.141789999999999861e-01,8.578189999999999982e-01,8.818949999999999845e-01,8.906899999999999817e-01
7.400000000000000000e+01,8.714349999999999596e-01,8.605070000000000219e-01,8.557329999999999659e-01,8.549080000000000013e-01,8.510240000000000027e-01,8.077839999999999465e-01,7.347160000000000357e-01,7.106919999999999904e-01,7.346350000000000380e-01,7.688399999999999679e-01,8.149239999999999817e-01,8.584589999999999721e-01,8.824579999999999647e-01,8.912189999999999834e-01
7.500000000000000000e+01,8.720080000000000053e-01,8.611170000000000213e-01,8.563589999999999813e-01,8.555399999999999672e-01,8.516669999999999519e-01,8.085090000000000332e-01,7.355660000000000531e-01,7.115690000000000071e-01,7.354659999999999531e-01,7.696169999999999956e-01,8.156189999999999829e-01,8.590560000000000418e-01,8.829839999999999911e-01,8.917119999999999491e-01
