# SysLoss,dt,SKL,QBERx,phiX,nX,nZ,lambdaEC,sX0,sX1,vZ1,sZ1,mean photon no.,QBERI,Pec,Pap,NoPass,Rrate,eps_c,eps_s,Px,P1,P2,P3,mu1,mu2,mu3,xi (deg),minElev (deg),maxElev (deg),shiftElev (deg)
2.698970004336018746e+01,2.000000000000000000e+02,4.178993809705398977e+07,5.411980578255305013e-03,8.779049123145123146e-03,1.205734981231633127e+08,1.187956988174527325e+07,5.885619004669547081e+06,2.516909063737000688e+05,5.113585641803313047e+07,4.176699184005829738e+04,4.970653502564278431e+06,6.240096400000000321e-01,3.000000000000000062e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
2.698970004336018746e+01,2.100000000000000000e+02,4.216588567000758648e+07,5.485118149024503439e-03,8.880128032510576849e-03,1.219303142280760854e+08,1.201325093094668165e+07,6.018790829139170237e+06,2.644921541642073425e+05,5.170940332509849966e+07,4.274528289347871032e+04,5.026616770925130695e+06,6.240096400000000321e-01,3.000000000000000062e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
2.698970004336018746e+01,2.200000000000000000e+02,4.249993946661721915e+07,5.558545470280047349e-03,8.982590078042307358e-03,1.231735301245431602e+08,1.213573945744768344e+07,6.147891136453726329e+06,2.772989847223859979e+05,5.223459535147742182e+07,4.370017454408886988e+04,5.077849515827639960e+06,6.240096400000000321e-01,3.000000000000000062e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
2.898970004336018746e+01,2.000000000000000000e+02,2.532603498464491591e+07,6.524676787001185661e-03,1.101934956552649836e-02,7.626161079688599706e+07,7.513716934965699911e+06,4.355966613781582564e+06,2.516909063737000688e+05,3.225188054002939910e+07,3.274158517856237813e+04,3.121893029099758249e+06,6.240096400000000321e-01,3.000000000000000062e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
2.898970004336018746e+01,2.100000000000000000e+02,2.552190445299587026e+07,6.640046067593366810e-03,1.118513531358678210e-02,7.712628532509797812e+07,7.598909466017312370e+06,4.469739267074180767e+06,2.644921541642073425e+05,3.261555682052576914e+07,3.363281715181024629e+04,3.157240248446159065e+06,6.240096400000000321e-01,3.000000000000000062e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
2.898970004336018746e+01,2.200000000000000000e+02,2.569167072532858327e+07,6.755852342327166304e-03,1.135294189921796579e-02,7.791927940601472557e+07,7.677039641774826683e+06,4.580781272372967564e+06,2.772989847223859979e+05,3.294875396220715716e+07,3.450910305070509639e+04,3.189612237616137601e+06,6.240096400000000321e-01,3.000000000000000062e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.098970004336018746e+01,2.000000000000000000e+02,1.499899160566665046e+07,8.277962513002220385e-03,1.459113616796897488e-02,4.829472238492377102e+07,4.758263950384404510e+06,3.363395718013863079e+06,2.516909063737000688e+05,2.034673634490195662e+07,2.706331784340689046e+04,1.958256244826743379e+06,6.240096400000000321e-01,3.000000000000000062e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.098970004336018746e+01,2.100000000000000000e+02,1.508412377556459047e+07,8.459473976373241277e-03,1.486252802083698997e-02,4.884886343190517277e+07,4.812861000270398334e+06,3.463079693950396497e+06,2.644921541642073425e+05,2.057803288623505458e+07,2.790451287290692562e+04,1.980607680913263233e+06,6.240096400000000321e-01,3.000000000000000062e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.098970004336018746e+01,2.200000000000000000e+02,1.515318346568058245e+07,8.641623425928321445e-03,1.513686582371674173e-02,4.935777575631537288e+07,4.863001865515402518e+06,3.560830838185909204e+06,2.772989847223859979e+05,2.079012434464541450e+07,2.873605851848417660e+04,2.001089966749744955e+06,6.240096400000000321e-01,3.000000000000000062e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.298970004336018746e+01,2.000000000000000000e+02,8.549043628260543570e+06,1.103135595360167642e-02,2.034024306548110061e-02,3.064563182795347646e+07,3.019377645480053034e+06,2.703836418227795046e+06,2.516909063737000688e+05,1.284235447585035302e+07,2.353551103451710878e+04,1.226234641488579335e+06,6.240096400000000321e-01,3.000000000000000062e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
