# SysLoss,dt,SKL,QBERx,phiX,nX,nZ,lambdaEC,sX0,sX1,vZ1,sZ1,mean photon no.,QBERI,Pec,Pap,NoPass,Rrate,eps_c,eps_s,Px,P1,P2,P3,mu1,mu2,mu3,xi (deg),minElev (deg),maxElev (deg),shiftElev (deg)
2.698970004336018746e+01,2.200000000000000000e+02,4.249993946661721915e+07,5.558545470280047349e-03,8.982590078042307358e-03,1.231735301245431602e+08,1.213573945744768344e+07,6.147891136453726329e+06,2.772989847223859979e+05,5.223459535147742182e+07,4.370017454408886988e+04,5.077849515827639960e+06,6.240096400000000321e-01,3.000000000000000062e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
2.898970004336018746e+01,2.200000000000000000e+02,2.569167072532858327e+07,6.755852342327166304e-03,1.135294189921796579e-02,7.791927940601472557e+07,7.677039641774826683e+06,4.580781272372967564e+06,2.772989847223859979e+05,3.294875396220715716e+07,3.450910305070509639e+04,3.189612237616137601e+06,6.240096400000000321e-01,3.000000000000000062e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.098970004336018746e+01,2.200000000000000000e+02,1.515318346568058245e+07,8.641623425928321445e-03,1.513686582371674173e-02,4.935777575631537288e+07,4.863001865515402518e+06,3.560830838185909204e+06,2.772989847223859979e+05,2.079012434464541450e+07,2.873605851848417660e+04,2.001089966749744955e+06,6.240096400000000321e-01,3.000000000000000062e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.298970004336018746e+01,2.200000000000000000e+02,8.576684331383140758e+06,1.160101064564137904e-02,2.123087775413669623e-02,3.133349873961176723e+07,3.087150109359618742e+06,2.879686746296157129e+06,2.772989847223859979e+05,1.312585166423999332e+07,2.515823119833784222e+04,1.253381364317671861e+06,6.240096400000000321e-01,3.000000000000000062e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.498970004336018746e+01,2.000000000000000000e+02,4.551485265685169958e+06,1.533258363286198189e-02,2.967444006337400728e-02,1.950854352800514176e+07,1.922089926388928667e+06,2.248993967630986590e+06,2.516909063737000688e+05,8.112849883189420216e+06,2.139538941278504353e+04,7.660303669943058630e+05,6.240096400000000321e-01,3.000000000000000062e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.698970004336018746e+01,2.000000000000000000e+02,2.107104954072101042e+06,2.199669629503173476e-02,4.495904796304335538e-02,1.248101220766317658e+07,1.229698557508855360e+06,1.919076683923946694e+06,2.516909063737000688e+05,5.132809068368576467e+06,2.015452334273467204e+04,4.769251794955379446e+05,6.240096400000000321e-01,3.000000000000000062e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.898970004336018746e+01,2.000000000000000000e+02,6.477722621833840385e+05,3.219121889117637636e-02,7.022179999313514498e-02,8.046739181275001727e+06,7.928093811003901064e+05,1.665228371427244972e+06,2.516909063737000688e+05,3.255537252283721697e+06,1.949672990694103646e+04,2.954499500433474896e+05,6.240096400000000321e-01,3.000000000000000062e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
