# SysLoss,dt,SKL,QBERx,phiX,nX,nZ,lambdaEC,sX0,sX1,vZ1,sZ1,mean photon no.,QBERI,Pec,Pap,NoPass,Rrate,eps_c,eps_s,Px,P1,P2,P3,mu1,mu2,mu3,xi (deg),minElev (deg),maxElev (deg),shiftElev (deg)
2.698970004336018746e+01,2.000000000000000000e+02,4.473728769482603669e+07,3.421680722833882020e-03,5.845783977950375424e-03,1.205734981231633127e+08,1.187956988174527325e+07,4.002429932722865138e+06,2.516909063737000688e+05,5.113585641803313047e+07,2.752804289113695268e+04,4.970653502564278431e+06,6.240096400000000321e-01,1.000000000000000021e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
2.698970004336018746e+01,2.100000000000000000e+02,4.513541302101566643e+07,3.495112610375414579e-03,5.951120366661196044e-03,1.219303142280760854e+08,1.201325093094668165e+07,4.120666996141970158e+06,2.644921541642073425e+05,5.170940332509849966e+07,2.836237095167348161e+04,5.026616770925130695e+06,6.240096400000000321e-01,1.000000000000000021e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
2.698970004336018746e+01,2.200000000000000000e+02,4.548882443076270074e+07,3.568835414403574192e-03,6.057629538104214971e-03,1.231735301245431602e+08,1.213573945744768344e+07,4.236644420288553461e+06,2.772989847223859979e+05,5.223459535147742182e+07,2.918640346304371633e+04,5.077849515827639960e+06,6.240096400000000321e-01,1.000000000000000021e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
2.898970004336018746e+01,2.000000000000000000e+02,2.710983074052480608e+07,4.538854591328445563e-03,8.035313862607616070e-03,7.626161079688599706e+07,7.513716934965699911e+06,3.217546156436915509e+06,2.516909063737000688e+05,3.225188054002939910e+07,2.366622045546081790e+04,3.121893029099758249e+06,6.240096400000000321e-01,1.000000000000000021e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
2.898970004336018746e+01,2.100000000000000000e+02,2.731712622344696522e+07,4.654688135553309604e-03,8.206907372745842269e-03,7.712628532509797812e+07,7.598909466017312370e+06,3.323394224469759502e+06,2.644921541642073425e+05,3.261555682052576914e+07,2.446889992918140342e+04,3.157240248446159065e+06,6.240096400000000321e-01,1.000000000000000021e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
2.898970004336018746e+01,2.200000000000000000e+02,2.749663866976304725e+07,4.770960432451057040e-03,8.380241621987990705e-03,7.791927940601472557e+07,7.677039641774826683e+06,3.427592373876202386e+06,2.772989847223859979e+05,3.294875396220715716e+07,2.526491626258852921e+04,3.189612237616137601e+06,6.240096400000000321e-01,1.000000000000000021e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.098970004336018746e+01,2.000000000000000000e+02,1.606425674498175643e+07,6.299195807284014431e-03,1.155556656207322452e-02,4.829472238492377102e+07,4.758263950384404510e+06,2.683629896615646314e+06,2.516909063737000688e+05,2.034673634490195662e+07,2.128354874824532453e+04,1.958256244826743379e+06,6.240096400000000321e-01,1.000000000000000021e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.098970004336018746e+01,2.100000000000000000e+02,1.615489252332083881e+07,6.481437700548717609e-03,1.183461938924284911e-02,4.884886343190517277e+07,4.812861000270398334e+06,2.779301425005278084e+06,2.644921541642073425e+05,2.057803288623505458e+07,2.207071879508077836e+04,1.980607680913263233e+06,6.240096400000000321e-01,1.000000000000000021e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.098970004336018746e+01,2.200000000000000000e+02,1.622846985199529678e+07,6.664320147351482197e-03,1.211624867948570342e-02,4.935777575631537288e+07,4.863001865515402518e+06,2.873680311016754713e+06,2.772989847223859979e+05,2.079012434464541450e+07,2.285345278064109152e+04,2.001089966749744955e+06,6.240096400000000321e-01,1.000000000000000021e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.298970004336018746e+01,2.000000000000000000e+02,9.175955517387496307e+06,9.063669324264018307e-03,1.725229868362950988e-02,3.064563182795347646e+07,3.019377645480053034e+06,2.303270191143695731e+06,2.516909063737000688e+05,1.284235447585035302e+07,1.985864578901346977e+04,1.226234641488579335e+06,6.240096400000000321e-01,1.000000000000000021e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
