# SysLoss,dt,SKL,QBERx,phiX,nX,nZ,lambdaEC,sX0,sX1,vZ1,sZ1,mean photon no.,QBERI,Pec,Pap,NoPass,Rrate,eps_c,eps_s,Px,P1,P2,P3,mu1,mu2,mu3,xi (deg),minElev (deg),maxElev (deg),shiftElev (deg)
2.698970004336018746e+01,2.200000000000000000e+02,4.498222161157744378e+07,3.703930139001709258e-03,6.161933608757354068e-03,1.227134640156087875e+08,1.209041119231162779e+07,4.355475802906512283e+06,2.546001291183672583e+04,5.213319895712194592e+07,2.968116474615936386e+04,5.074287964572215453e+06,6.240096400000000321e-01,3.000000000000000062e-03,9.999999999999999547e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
2.898970004336018746e+01,2.200000000000000000e+02,2.812181491809735447e+07,3.824823857695394506e-03,6.765993154124236471e-03,7.745913183926527202e+07,7.631703350962964818e+06,2.829759325113597326e+06,2.546001291183672583e+04,3.284776624317461997e+07,2.024159340779182821e+04,3.186186460999375209e+06,6.240096400000000321e-01,3.000000000000000062e-03,9.999999999999999547e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.098970004336018746e+01,2.200000000000000000e+02,1.750884409232871607e+07,4.016306893453951317e-03,7.653204875954069085e-03,4.889757677875619382e+07,4.817660509425381199e+06,1.865362213575199712e+06,2.546001291183672583e+04,2.068966792378050089e+07,1.418358580746782354e+04,1.997835686045263894e+06,6.240096400000000321e-01,3.000000000000000062e-03,9.999999999999999547e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.298970004336018746e+01,2.200000000000000000e+02,1.083226436320465058e+07,4.319484501232791554e-03,8.985176015137694150e-03,3.087326731828880683e+07,3.041805556730017532e+06,1.255236804318078328e+06,2.546001291183672583e+04,1.302606806910640933e+07,1.028912877401951664e+04,1.250341255212835735e+06,6.240096400000000321e-01,3.000000000000000062e-03,9.999999999999999547e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.498970004336018746e+01,2.200000000000000000e+02,6.635659074293136597e+06,4.799230141233160399e-03,1.103044083505675885e-02,1.949942806787356362e+07,1.921191820691383211e+06,8.684833569021284347e+05,2.546001291183672583e+04,8.196541537747556344e+06,7.785051037952869592e+03,7.805115940589540405e+05,6.240096400000000321e-01,3.000000000000000062e-03,9.999999999999999547e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.698970004336018746e+01,2.200000000000000000e+02,4.001361668991429731e+06,5.557676426975483724e-03,1.424358831321946225e-02,1.232251547273928300e+07,1.214082579969300656e+06,6.223219808846709784e+05,2.546001291183672583e+04,5.153893545001262799e+06,6.179845001148844858e+03,4.854908400636987644e+05,6.240096400000000321e-01,3.000000000000000062e-03,9.999999999999999547e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.898970004336018746e+01,2.200000000000000000e+02,2.351371482256449759e+06,6.754985363296442218e-03,1.940999895943727738e-02,7.793988627257614397e+06,7.679069944579094881e+05,4.643508068110763561e+05,2.546001291183672583e+04,3.237692486017431598e+06,5.160441505910211163e+03,3.004630297742160619e+05,6.240096400000000321e-01,3.000000000000000062e-03,9.999999999999999547e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
