# SysLoss,dt,SKL,QBERx,phiX,nX,nZ,lambdaEC,sX0,sX1,vZ1,sZ1,mean photon no.,QBERI,Pec,Pap,NoPass,Rrate,eps_c,eps_s,Px,P1,P2,P3,mu1,mu2,mu3,xi (deg),minElev (deg),maxElev (deg),shiftElev (deg)
2.698970004336018746e+01,2.200000000000000000e+02,4.548882443076270074e+07,3.568835414403574192e-03,6.057629538104214971e-03,1.231735301245431602e+08,1.213573945744768344e+07,4.236644420288553461e+06,2.772989847223859979e+05,5.223459535147742182e+07,2.918640346304371633e+04,5.077849515827639960e+06,6.240096400000000321e-01,1.000000000000000021e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
2.898970004336018746e+01,2.200000000000000000e+02,2.749663866976304725e+07,4.770960432451057040e-03,8.380241621987990705e-03,7.791927940601472557e+07,7.677039641774826683e+06,3.427592373876202386e+06,2.772989847223859979e+05,3.294875396220715716e+07,2.526491626258852921e+04,3.189612237616137601e+06,6.240096400000000321e-01,1.000000000000000021e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.098970004336018746e+01,2.200000000000000000e+02,1.622846985199529678e+07,6.664320147351482197e-03,1.211624867948570342e-02,4.935777575631537288e+07,4.863001865515402518e+06,2.873680311016754713e+06,2.772989847223859979e+05,2.079012434464541450e+07,2.285345278064109152e+04,2.001089966749744955e+06,6.240096400000000321e-01,1.000000000000000021e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.298970004336018746e+01,2.200000000000000000e+02,9.207847240757742897e+06,9.635616393922279838e-03,1.816207729065786106e-02,3.133349873961176723e+07,3.087150109359618742e+06,2.475653372004605830e+06,2.772989847223859979e+05,1.312585166423999332e+07,2.141924255235186502e+04,1.253381364317671861e+06,6.240096400000000321e-01,1.000000000000000021e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.498970004336018746e+01,2.000000000000000000e+02,4.914630389118105173e+06,1.338220580164720293e-02,2.653177316020124618e-02,1.950854352800514176e+07,1.922089926388928667e+06,2.016203530677268514e+06,2.516909063737000688e+05,8.112849883189420216e+06,1.905920548470355061e+04,7.660303669943058630e+05,6.240096400000000321e-01,1.000000000000000021e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.698970004336018746e+01,2.000000000000000000e+02,2.313829468202917837e+06,2.007313587255210932e-02,4.175625874161343482e-02,1.248101220766317658e+07,1.229698557508855360e+06,1.785736383938530227e+06,2.516909063737000688e+05,5.132809068368576467e+06,1.867207856561779772e+04,4.769251794955379446e+05,6.240096400000000321e-01,1.000000000000000021e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.898970004336018746e+01,2.000000000000000000e+02,7.630754232213597279e+05,3.030868278703892013e-02,6.694850904331950403e-02,8.046739181275001727e+06,7.928093811003901064e+05,1.590031251740872627e+06,2.516909063737000688e+05,3.255537252283721697e+06,1.855731261341961363e+04,2.954499500433474896e+05,6.240096400000000321e-01,1.000000000000000021e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
