# SysLoss,dt,SKL,QBERx,phiX,nX,nZ,lambdaEC,sX0,sX1,vZ1,sZ1,mean photon no.,QBERI,Pec,Pap,NoPass,Rrate,eps_c,eps_s,Px,P1,P2,P3,mu1,mu2,mu3,xi (deg),minElev (deg),maxElev (deg),shiftElev (deg)
2.698970004336018746e+01,2.200000000000000000e+02,3.973080944508657604e+07,7.548255526156518770e-03,1.186336038436919954e-02,1.231735301245431602e+08,1.213573945744768344e+07,7.927854334296961315e+06,2.772989847223859979e+05,5.223459535147742182e+07,5.804817070702664932e+04,5.077849515827639960e+06,6.240096400000000321e-01,5.000000000000000104e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
2.898970004336018746e+01,2.200000000000000000e+02,2.400049856843543425e+07,8.740744252203273834e-03,1.428436891555468803e-02,7.791927940601472557e+07,7.677039641774826683e+06,5.666338911977108568e+06,2.772989847223859979e+05,3.294875396220715716e+07,4.365561465641599352e+04,3.189612237616137601e+06,6.240096400000000321e-01,5.000000000000000104e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.098970004336018746e+01,2.200000000000000000e+02,1.413377383694009483e+07,1.061892670450516156e-02,1.812169043731880202e-02,4.935777575631537288e+07,4.863001865515402518e+06,4.214868887206075713e+06,2.772989847223859979e+05,2.079012434464541450e+07,3.456526376690394682e+04,2.001089966749744955e+06,6.240096400000000321e-01,5.000000000000000104e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.298970004336018746e+01,2.200000000000000000e+02,7.971615004271610640e+06,1.356640489736047825e-02,2.427072155341102738e-02,3.133349873961176723e+07,3.087150109359618742e+06,3.268263276063300204e+06,2.772989847223859979e+05,1.312585166423999332e+07,2.887001628729433651e+04,1.253381364317671861e+06,6.240096400000000321e-01,5.000000000000000104e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.498970004336018746e+01,2.000000000000000000e+02,4.200523096212499775e+06,1.728296146407675912e-02,3.279236419301811284e-02,1.950854352800514176e+07,1.922089926388928667e+06,2.474603339225699194e+06,2.516909063737000688e+05,8.112849883189420216e+06,2.371723966622936496e+04,7.660303669943058630e+05,6.240096400000000321e-01,5.000000000000000104e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.698970004336018746e+01,2.000000000000000000e+02,1.905687220443330938e+06,2.392025671751136021e-02,4.814350354714289765e-02,1.248101220766317658e+07,1.229698557508855360e+06,2.049285832315395353e+06,2.516909063737000688e+05,5.132809068368576467e+06,2.163030889294451117e+04,4.769251794955379446e+05,6.240096400000000321e-01,5.000000000000000104e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.898970004336018746e+01,2.000000000000000000e+02,5.347291733396709897e+05,3.407375499531382912e-02,7.348184835262067116e-02,8.046739181275001727e+06,7.928093811003901064e+05,1.739094057565546129e+06,2.516909063737000688e+05,3.255537252283721697e+06,2.043314660248240762e+04,2.954499500433474896e+05,6.240096400000000321e-01,5.000000000000000104e-03,9.999999999999999547e-07,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
